[EXITO] Bandera: Paquete llegó a destino. Paquete: 221484601, Destino: OYSN, Tiempo restante: 213 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221901, Destino: OERK, Tiempo restante: 504 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221902, Destino: OERK, Tiempo restante: 925 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161221903, Destino: OERK, Tiempo restante: 504 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053801, Destino: SBBR, Tiempo restante: 1438 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053802, Destino: SBBR, Tiempo restante: 616 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053803, Destino: SBBR, Tiempo restante: 1132 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053804, Destino: SBBR, Tiempo restante: 616 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221484001, Destino: OYSN, Tiempo restante: 879 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053101, Destino: SBBR, Tiempo restante: 1354 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053102, Destino: SBBR, Tiempo restante: 1354 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053103, Destino: SBBR, Tiempo restante: 1048 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053104, Destino: SBBR, Tiempo restante: 1048 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053301, Destino: SBBR, Tiempo restante: 1376 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053302, Destino: SBBR, Tiempo restante: 1070 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053303, Destino: SBBR, Tiempo restante: 1070 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053304, Destino: SBBR, Tiempo restante: 780 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146222201, Destino: OERK, Tiempo restante: 247 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146222202, Destino: OERK, Tiempo restante: 247 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146222203, Destino: OERK, Tiempo restante: 2407 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052501, Destino: SBBR, Tiempo restante: 1665 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052502, Destino: SBBR, Tiempo restante: 1665 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052503, Destino: SBBR, Tiempo restante: 1069 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052504, Destino: SBBR, Tiempo restante: 998 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053001, Destino: SBBR, Tiempo restante: 520 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053002, Destino: SBBR, Tiempo restante: 1342 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053003, Destino: SBBR, Tiempo restante: 1960 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256053004, Destino: SBBR, Tiempo restante: 1342 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052201, Destino: SBBR, Tiempo restante: 237 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052202, Destino: SBBR, Tiempo restante: 1677 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052203, Destino: SBBR, Tiempo restante: 237 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052204, Destino: SBBR, Tiempo restante: 1010 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052701, Destino: SBBR, Tiempo restante: 638 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052702, Destino: SBBR, Tiempo restante: 638 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052703, Destino: SBBR, Tiempo restante: 1749 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271052704, Destino: SBBR, Tiempo restante: 1749 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99787901, Destino: LKPR, Tiempo restante: 27 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99787801, Destino: LKPR, Tiempo restante: 281 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99789101, Destino: LKPR, Tiempo restante: 329 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222001, Destino: OERK, Tiempo restante: 351 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222002, Destino: OERK, Tiempo restante: 516 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222003, Destino: OERK, Tiempo restante: 351 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 99789301, Destino esperado: LKPR, Último destino: EDDI, Tiempo restante: 1057 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99789301, Destino: LKPR, Tiempo restante: 379 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052801, Destino: SBBR, Tiempo restante: 1311 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052802, Destino: SBBR, Tiempo restante: 1929 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052803, Destino: SBBR, Tiempo restante: 1929 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052804, Destino: SBBR, Tiempo restante: 715 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221483201, Destino: OYSN, Tiempo restante: 1601 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 161222401, Destino esperado: OERK, Último destino: OOMS, Tiempo restante: 791 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 161222401, Destino esperado: OERK, Último destino: UBBB, Tiempo restante: 421 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 161222401, Destino esperado: OERK, Último destino: OMDB, Tiempo restante: 164 min
[DETENIDO] Bandera: Sin vuelos disponibles o sin tiempo suficiente. Paquete: 161222401, Origen: UBBB, Destino: OERK, Tiempo restante: 164 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222402, Destino: OERK, Tiempo restante: 964 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222403, Destino: OERK, Tiempo restante: 964 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222301, Destino: OERK, Tiempo restante: 535 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222302, Destino: OERK, Tiempo restante: 535 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222303, Destino: OERK, Tiempo restante: 535 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221483401, Destino: OYSN, Tiempo restante: 1612 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222601, Destino: OERK, Tiempo restante: 982 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222602, Destino: OERK, Tiempo restante: 561 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222603, Destino: OERK, Tiempo restante: 982 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052401, Destino: SBBR, Tiempo restante: 668 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052402, Destino: SBBR, Tiempo restante: 958 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052403, Destino: SBBR, Tiempo restante: 958 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052404, Destino: SBBR, Tiempo restante: 668 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222801, Destino: OERK, Tiempo restante: 994 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222802, Destino: OERK, Tiempo restante: 994 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222803, Destino: OERK, Tiempo restante: 994 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052601, Destino: SBBR, Tiempo restante: 687 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052602, Destino: SBBR, Tiempo restante: 687 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052603, Destino: SBBR, Tiempo restante: 461 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052604, Destino: SBBR, Tiempo restante: 461 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222901, Destino: OERK, Tiempo restante: 583 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222902, Destino: OERK, Tiempo restante: 1004 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161222903, Destino: OERK, Tiempo restante: 1004 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146221301, Destino: OERK, Tiempo restante: 894 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146221302, Destino: OERK, Tiempo restante: 823 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146221303, Destino: OERK, Tiempo restante: 1614 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052101, Destino: SBBR, Tiempo restante: 914 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052102, Destino: SBBR, Tiempo restante: 398 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052103, Destino: SBBR, Tiempo restante: 624 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256052104, Destino: SBBR, Tiempo restante: 2064 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176581301, Destino: OJAI, Tiempo restante: 450 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176581302, Destino: OJAI, Tiempo restante: 450 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176581303, Destino: OJAI, Tiempo restante: 450 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053401, Destino: SBBR, Tiempo restante: 1833 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053402, Destino: SBBR, Tiempo restante: 393 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053403, Destino: SBBR, Tiempo restante: 722 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053404, Destino: SBBR, Tiempo restante: 722 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146221501, Destino: OERK, Tiempo restante: 1342 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146221502, Destino: OERK, Tiempo restante: 2352 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146221503, Destino: OERK, Tiempo restante: 2281 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176581401, Destino: OJAI, Tiempo restante: 466 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 176581402, Destino esperado: OJAI, Último destino: OSDI, Tiempo restante: 456 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 176581402, Destino esperado: OJAI, Último destino: UBBB, Tiempo restante: 3 min
[DETENIDO] Bandera: Sin vuelos disponibles o sin tiempo suficiente. Paquete: 176581402, Origen: UBBB, Destino: OJAI, Tiempo restante: 3 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176581403, Destino: OJAI, Tiempo restante: 466 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99788801, Destino: LKPR, Tiempo restante: 551 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 99788701, Destino: LKPR, Tiempo restante: 320 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053201, Destino: SBBR, Tiempo restante: 1807 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053202, Destino: SBBR, Tiempo restante: 1211 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053203, Destino: SBBR, Tiempo restante: 696 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271053204, Destino: SBBR, Tiempo restante: 1807 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221482501, Destino: OYSN, Tiempo restante: 872 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261497101, Destino: SCEL, Tiempo restante: 331 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 221482701, Destino esperado: OYSN, Último destino: LDZA, Tiempo restante: 892 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221482701, Destino: OYSN, Tiempo restante: 46 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221482601, Destino: OYSN, Tiempo restante: 141 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261497201, Destino: SCEL, Tiempo restante: 1033 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221482001, Destino: OYSN, Tiempo restante: 855 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161223401, Destino: OERK, Tiempo restante: 459 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161223402, Destino: OERK, Tiempo restante: 1045 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161223403, Destino: OERK, Tiempo restante: 459 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221482201, Destino: OYSN, Tiempo restante: 1060 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261497601, Destino: SCEL, Tiempo restante: 1039 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261497901, Destino: SCEL, Tiempo restante: 1050 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146224201, Destino: OERK, Tiempo restante: 1843 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146224202, Destino: OERK, Tiempo restante: 1123 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146224203, Destino: OERK, Tiempo restante: 1843 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055801, Destino: SBBR, Tiempo restante: 1109 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055802, Destino: SBBR, Tiempo restante: 1109 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055803, Destino: SBBR, Tiempo restante: 1109 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055804, Destino: SBBR, Tiempo restante: 265 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055301, Destino: SBBR, Tiempo restante: 197 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055302, Destino: SBBR, Tiempo restante: 1331 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055303, Destino: SBBR, Tiempo restante: 1041 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055304, Destino: SBBR, Tiempo restante: 1331 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580801, Destino: OJAI, Tiempo restante: 381 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580802, Destino: OJAI, Tiempo restante: 381 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580803, Destino: OJAI, Tiempo restante: 381 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055401, Destino: SBBR, Tiempo restante: 1652 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055402, Destino: SBBR, Tiempo restante: 212 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055403, Destino: SBBR, Tiempo restante: 1346 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055404, Destino: SBBR, Tiempo restante: 212 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580601, Destino: OJAI, Tiempo restante: 362 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580602, Destino: OJAI, Tiempo restante: 362 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580603, Destino: OJAI, Tiempo restante: 362 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055601, Destino: SBBR, Tiempo restante: 1085 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055602, Destino: SBBR, Tiempo restante: 241 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055603, Destino: SBBR, Tiempo restante: 1375 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256055604, Destino: SBBR, Tiempo restante: 1681 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580701, Destino: OJAI, Tiempo restante: 373 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580702, Destino: OJAI, Tiempo restante: 373 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580703, Destino: OJAI, Tiempo restante: 373 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580501, Destino: OJAI, Tiempo restante: 345 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580502, Destino: OJAI, Tiempo restante: 345 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580503, Destino: OJAI, Tiempo restante: 345 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580201, Destino: OJAI, Tiempo restante: 306 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580202, Destino: OJAI, Tiempo restante: 306 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 176580203, Destino esperado: OJAI, Último destino: OSDI, Tiempo restante: 581 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 176580203, Destino: OJAI, Tiempo restante: 347 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054401, Destino: SBBR, Tiempo restante: 859 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054402, Destino: SBBR, Tiempo restante: 530 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054403, Destino: SBBR, Tiempo restante: 530 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054404, Destino: SBBR, Tiempo restante: 1303 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054801, Destino: SBBR, Tiempo restante: 1291 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054802, Destino: SBBR, Tiempo restante: 1362 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054803, Destino: SBBR, Tiempo restante: 518 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054804, Destino: SBBR, Tiempo restante: 1362 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054301, Destino: SBBR, Tiempo restante: 843 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054302, Destino: SBBR, Tiempo restante: 1287 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054303, Destino: SBBR, Tiempo restante: 514 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054304, Destino: SBBR, Tiempo restante: 514 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221481701, Destino: OYSN, Tiempo restante: 839 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224001, Destino: OERK, Tiempo restante: 676 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224002, Destino: OERK, Tiempo restante: 676 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224003, Destino: OERK, Tiempo restante: 511 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054001, Destino: SBBR, Tiempo restante: 1244 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054002, Destino: SBBR, Tiempo restante: 471 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054003, Destino: SBBR, Tiempo restante: 800 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271054004, Destino: SBBR, Tiempo restante: 800 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261498101, Destino: SCEL, Tiempo restante: 1061 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224101, Destino: OERK, Tiempo restante: 513 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224102, Destino: OERK, Tiempo restante: 678 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224103, Destino: OERK, Tiempo restante: 678 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224401, Destino: OERK, Tiempo restante: 704 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224402, Destino: OERK, Tiempo restante: 539 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224403, Destino: OERK, Tiempo restante: 539 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221481501, Destino: OYSN, Tiempo restante: 1034 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 261498301, Destino: SCEL, Tiempo restante: 1065 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224301, Destino: OERK, Tiempo restante: 1114 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224302, Destino: OERK, Tiempo restante: 693 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224303, Destino: OERK, Tiempo restante: 693 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224501, Destino: OERK, Tiempo restante: 1077 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224502, Destino: OERK, Tiempo restante: 656 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224503, Destino: OERK, Tiempo restante: 656 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 221481201, Destino: OYSN, Tiempo restante: 1519 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224801, Destino: OERK, Tiempo restante: 740 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224802, Destino: OERK, Tiempo restante: 1161 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224803, Destino: OERK, Tiempo restante: 740 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224701, Destino: OERK, Tiempo restante: 568 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224702, Destino: OERK, Tiempo restante: 1154 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 161224703, Destino: OERK, Tiempo restante: 1154 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223001, Destino: OERK, Tiempo restante: 2399 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223002, Destino: OERK, Tiempo restante: 1750 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223003, Destino: OERK, Tiempo restante: 2470 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223101, Destino: OERK, Tiempo restante: 1039 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223102, Destino: OERK, Tiempo restante: 2408 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223103, Destino: OERK, Tiempo restante: 2408 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054901, Destino: SBBR, Tiempo restante: 150 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054902, Destino: SBBR, Tiempo restante: 994 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054903, Destino: SBBR, Tiempo restante: 994 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 256054904, Destino esperado: SBBR, Último destino: OAKB, Tiempo restante: 2207 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054904, Destino: SBBR, Tiempo restante: 581 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054201, Destino: SBBR, Tiempo restante: 897 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054202, Destino: SBBR, Tiempo restante: 671 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054203, Destino: SBBR, Tiempo restante: 671 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054204, Destino: SBBR, Tiempo restante: 897 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223201, Destino: OERK, Tiempo restante: 1766 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223202, Destino: OERK, Tiempo restante: 1766 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223203, Destino: OERK, Tiempo restante: 1046 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054501, Destino: SBBR, Tiempo restante: 1225 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054502, Destino: SBBR, Tiempo restante: 1225 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054503, Destino: SBBR, Tiempo restante: 935 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 256054504, Destino: SBBR, Tiempo restante: 709 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010101, Destino: SLLP, Tiempo restante: 881 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010102, Destino: SLLP, Tiempo restante: 881 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010103, Destino: SLLP, Tiempo restante: 765 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010104, Destino: SLLP, Tiempo restante: 389 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010105, Destino: SLLP, Tiempo restante: 389 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010106, Destino: SLLP, Tiempo restante: 389 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010107, Destino: SLLP, Tiempo restante: 389 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010108, Destino: SLLP, Tiempo restante: 881 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010109, Destino: SLLP, Tiempo restante: 765 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 324010110, Destino: SLLP, Tiempo restante: 389 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223901, Destino: OERK, Tiempo restante: 1034 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223902, Destino: OERK, Tiempo restante: 1535 min
[DETENIDO] Bandera: Paquete no llegó a destino. Paquete: 146223903, Destino esperado: OERK, Último destino: UMMS, Tiempo restante: 2509 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 146223903, Destino: OERK, Tiempo restante: 918 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271055701, Destino: SBBR, Tiempo restante: 1484 min
[EXITO] Bandera: Paquete llegó a destino. Paquete: 271055702, Destino: SBBR, Tiempo restante: 640 min
